Item,Subj1Score,Subj2Score,single1,single2,single1,single2,,,,,,,
1,127,97.5,87.5,0,,,,,,,,,
2,80,104.5,40.5,7,,,,,,,,,
3,131,91.5,91.5,-6,,,,,,,,,
4,113,131,73.5,33.5,,,,,,,,,
5,39.5,28.5,0,-69,,,,,,,,,
6,0.5,123,-39,25.5,,,,,,,,,
7,23.5,126,-16,28.5,,,,,,,,,
8,39.5,50,0,-47.5,,,,,,,,,
9,129,0,89.5,-97.5,,,,,,,,,
10,102.5,100,63,2.5,,,,,,,,,
11,49,91.5,9.5,-6,,,,,,,,,
12,127,0,87.5,-97.5,,,,,,,,,
13,131,102,91.5,4.5,,,,,,,,,
14,31,14,-8.5,-83.5,,,,,,,,,
15,39.5,115.5,0,18,,,,,,,,,
16,39.5,115.5,0,18,,,,,,,,,
17,0.5,0.5,-39,-97,,,,,,,,,131
18,31,106.5,-8.5,9,,,,,,,,,126
19,20,72,-19.5,-25.5,,,,,,,,,123
20,39.5,58.5,0,-39,,,,,,,,,115.5
21,124,104.5,84.5,7,,,,,,,,,115.5
,,,,,,,,,,,,,106.5
,,,,,,,,,,,,,104.5
,,,,,,,,,,,,,104.5
,,,,,,,,,,,,,102
,,,,,,,,,,,,,100
,,,,,,,,,,,,,97.5
,,,,,,,,,,,,,91.5
,,,,,,,,,,,,,91.5
,,,,,,,,,,,,,72
,,,,,,,,,,,,,58.5
,,,,,,,,,,,,,50
,,,,,,,,,,,,,28.5
,,,,,,,,,,,,,14
,,,,,,,,,,,,,0.5
,,,,,,,,,,,,,0
,,,,,,,,,,,,,0
